AEther Searcher	乙太探寻客
Rushwood Legate	银叶林特使
Russet Wolves	赤褐狼
Rust	锈蚀
Rust Elemental	锈蚀元素
Rust Scarab	锈色甲虫
Rust Tick	锈虱
Rusted Relic	生锈遗物
Rusted Sentinel	生锈哨兵
Rusted Slasher	锈斑斩击兽
Rustic Clachan	锈色小村
Rusting Golem	生锈魔像
Rustmouth Ogre	蚀口食人魔
Rustrazor Butcher	锈刃屠夫
Rustspore Ram	绣孢羊
Ruthless Cullblade	绝情汰锋兵
Ruthless Deathfang	利齿莽龙
Ruthless Disposal	无情抛弃
Ruthless Instincts	无情本能
Ruthless Invasion	无情侵攻
Ruthless Knave	无情诈徒
Ruthless Ripper	无情夺魂客
Ruthless Sniper	无情神箭手
Rysorian Badger	莱索利獾
Ryusei, the Falling Star	赤龙流星
Saber Ants	剑齿蚁
Saberclaw Golem	刀爪魔像
Sabertooth Alley Cat	剑齿流浪猫
Sabertooth Cobra	剑齿眼镜蛇
Sabertooth Nishoba	剑齿尼索巴
Sabertooth Outrider	虎骑前导兵
Sabertooth Wyvern	剑齿蜿龙
Sabretooth Tiger	剑齿虎
Sacellum Archers	藤圣堂弓箭手
Sacellum Godspeaker	藤圣堂神言师
Sachi, Daughter of Seshiro	濑四郎之女纱千
Sacred Armory	圣洁军械库
Sacred Boon	圣恩
Sacred Cat	圣猫
Sacred Excavation	神圣发掘
Sacred Foundry	圣洁锻炉
Sacred Ground	圣洁大地
Sacred Guide	圣导士
Sacred Knight	圣洁骑士
Sacred Mesa	圣洁台地
Sacred Nectar	圣洁琼浆
Sacred Prey	圣祥猎物
Sacred Rites	圣洁仪式
Sacred Wolf	圣狼
Sacrifice	牺牲
Saddleback Lagac	鞍背勒嘎
Sadistic Augermage	凌虐钻法师
Sadistic Glee	凌虐之喜
Sadistic Hypnotist	凌虐催眠术士
Sadistic Sacrament	凌虐圣礼
Safe Haven	安全庇护地
Safe Passage	安全出路
Safeguard	安全措施
Safehold Duo	华域搭档
Safehold Elite	华域精兵
Safehold Sentry	华域哨兵
Safewright Quest	美境卫的探索
Saffi Eriksdotter	莎妃艾力克斯朵特
Sage Aven	艾文智者
Sage Owl	睿智的猫头鹰
Sage of Ancient Lore	古训智者
Sage of Epityr	艾比提智者
Sage of Fables	寓言智者
Sage of Hours	时光智者
Sage of Lat-Nam	拉特南智者
Sage of Shaila's Claim	莎伊勒域智者
Sage of the Inward Eye	心目智者
Sage's Dousing	智者降火
Sage's Knowledge	圣人的智慧
Sage's Reverie	智者妙想
Sage's Row Denizen	智者街居民
Sage-Eye Avengers	慧眼复仇者
Sage-Eye Harrier	慧眼鹞鹰
Sages of the Anima	谕灵的智者
Sagu Archer	萨谷弓箭手
Sagu Mauler	萨谷虐杀兽
Saheeli Rai	莎希莉莱伊
Saheeli's Artistry	莎希莉的技艺
Sai of the Shinobi	忍者钗
Sailmonger	航行贩子
Sailor of Means	通天水手
Sakashima the Impostor	冒名客逆岛
Sakashima's Student	逆岛的学徒
Sakiko, Mother of Summer	夏日之母佐季子
Sakura-Tribe Elder	樱宗长老
Sakura-Tribe Scout	樱宗斥候
Sakura-Tribe Springcaller	樱宗迎春使
Salivating Gremlins	垂涎怪灵
Salt Flats	盐田
Salt Marsh	咸沼
Salt Road Ambushers	盐路伏击兵
Salt Road Patrol	盐路巡卫
Salt Road Quartermasters	盐路军需官
Saltblast	砂盐暴
Saltcrusted Steppe	盐壳草原
Saltfield Recluse	盐原隐士
Saltskitter	盐丘掠行亚龙
Salvage	修护
Salvage Drone	回收奴兽
Salvage Scout	回收斥候
Salvage Scuttler	回收凿孔蟹
Salvage Slasher	废品刀客
Salvage Titan	废品泰坦
Salvaging Station	回收工段
Samite Alchemist	撒姆尼炼金术士
Samite Archer	撒姆尼箭手
Samite Blessing	撒姆尼祝祷
Samite Censer-Bearer	撒姆尼香炉师
Samite Elder	撒姆尼长老
Samite Healer	撒姆尼人的医疗员
Samite Ministration	撒姆尼圣疗
Samite Pilgrim	撒姆尼朝圣客
Samite Sanctuary	撒姆尼圣域
Samurai Enforcers	武士执法者
Samurai of the Pale Curtain	灰幕武士
Samut Voice of Dissent	逆徒之声撒姆特
Samut, the Tested	受炼撒姆特
Sanctified Charge	净圣冲锋
Sanctifier of Souls	灵魂祝圣僧
Sanctimony	故作虔诚
Sanctuary Cat	圣堂猫
Sanctum Custodian	圣域监管人
Sanctum Gargoyle	圣所石像鬼
Sanctum Guardian	圣域守护者
Sanctum Plowbeast	圣所犁兽
Sanctum Prelate	圣所教长
Sanctum Seeker	访圣团骑士
Sanctum of Ugin	乌金圣所
Sand Golem	沙魔像
Sand Silos	沙窖
Sand Squid	沙乌贼
Sand Strangler	沙漠绞杀兽
Sandals of Abdallah	阿布杜拉之鞋
Sandbar Crocodile	沙洲鳄鱼
Sandbar Merfolk	沙洲人鱼
Sandbar Serpent	沙洲巨蛇
Sandblast	黄砂暴
Sandcrafter Mage	塑砂法师
Sands of Delirium	错乱沙漏
Sands of Time	时间砂
Sandskin	沙皮甲
Sandsower	舞砂精
Sandsteppe Citadel	沙原殿堂
Sandsteppe Mastodon	沙原乳齿象
Sandsteppe Outcast	沙原黜人
Sandsteppe Scavenger	沙原拾荒客
Sandstone Bridge	砂岩桥
Sandstone Deadfall	砂岩陷阱
Sandstone Needle	砂岩尖峰
Sandstone Oracle	砂岩先知
Sandstone Warrior	砂岩战士
Sandstorm	沙暴
Sandstorm Charger	尘暴冲锋兽
Sandstorm Eidolon	沙暴幻灵
Sandwurm Convergence	沙丘亚龙巢群
Sangrite Backlash	闪晶反挫
Sangrite Surge	闪晶波涛
Sangromancer	鲜血术士
Sangrophage	血饮非
Sanguimancy	血占术
Sanguinary Mage	鲜血法师
Sanguine Bond	血色羁绊
Sanguine Guard	血色守卫
Sanguine Praetor	血色魔判官
Sanguine Sacrament	血色圣礼
Sanitarium Skeleton	疯人院骷髅妖
Sanity Gnawers	心智啮鼠
Sanity Grinding	辗磨心智
Sapling of Colfenor	柯芬诺幼苗
Sapphire Charm	蓝宝石护符
Sapphire Drake	蓝宝石龙兽
Sapphire Leech	蓝宝石蛭
Sapphire Medallion	蓝宝石徽章
Saprazzan Bailiff	萨帕佐法警
Saprazzan Breaker	萨帕佐破浪兽
Saprazzan Cove	萨帕佐海湾
Saprazzan Heir	萨帕佐传人
Saprazzan Legate	萨帕佐特使
Saprazzan Outrigger	萨帕佐浮艇
Saprazzan Raider	萨帕佐突击队
Saprazzan Skerry	萨帕佐岩岛
Saproling Burst	腐生激长
Saproling Cluster	腐生群落
Saproling Infestation	腐生蔓延
Saproling Symbiosis	腐生共栖
Sapseep Forest	渗汁树林
Sarcatog	骸骨阿托格
Sarcomancy	尸偶术
Sarcomite Myr	振肌秘耳
Sarkhan Unbroken	重获新生的萨坎
Sarkhan Vol	萨坎沃
Sarkhan the Mad	狂人萨坎
Sarkhan's Rage	萨坎之怒
Sarkhan's Triumph	萨坎凯旋
Sarkhan, the Dragonspeaker	龙语者萨坎
Sarpadian Empires, Vol. VII	撒尔帕汀帝国，卷 七
Saruli Gatekeepers	撒路里门卫
Sasaya's Essence	筱弥菁华
Sasaya, Orochi Ascendant	入圣蛇人筱弥
Saskia The Unyielding	刚毅的撒姬亚
Satyr Firedancer	舞火羊蹄人
Satyr Grovedancer	林舞羊蹄人
Satyr Hedonist	贪欢羊蹄人
Satyr Hoplite	羊蹄人重装步兵
Satyr Nyx-Smith	铸灵羊蹄人
Satyr Piper	羊蹄人吹笛手
Satyr Rambler	放浪羊蹄人
Satyr Wayfinder	引路羊蹄人
Savaen Elves	萨凡妖精
Savage Alliance	蛮野协作
Savage Beating	凶蛮打击
Savage Conception	蛮野蕴胎
Savage Firecat	蛮荒火焰猫
Savage Gorilla	粗野大猩猩
Savage Hunger	凶蛮饥饿
Savage Knuckleblade	蛮野指套剑手
Savage Lands	蛮野大地
Savage Offensive	野蛮侵攻
Savage Punch	蛮野殴击
Savage Silhouette	野蛮侧影
Savage Stomp	蛮野重跺
Savage Summoning	野蛮召唤
Savage Surge	凶蛮翻腾
Savage Thallid	凶蛮散绿菌
Savage Twister	凶暴龙卷风
Savage Ventmaw	沸息蛮龙
Savageborn Hydra	蛮生多头龙
Savannah	大草原
Savannah Lions	草原雄狮
Saving Grace	援救恩典
Saving Grasp	救命一攫
Savor the Moment	品味当下
Savra, Queen of the Golgari	葛加理女王撒芙儿
Sawback Manticore	剑脊翼狮
Sawtooth Loon	锯齿潜鸟
Sawtooth Ogre	锯齿食人魔
Sawtooth Thresher	锯齿挥扫兽
Scab-Clan Berserker	司凯族狂战士
Scab-Clan Charger	冲锋司凯族
Scab-Clan Giant	司凯族巨人
Scab-Clan Mauler	司凯族虐杀兵
Scabland	疮痍劣地
Scald	烫伤
Scalding Devil	灼烫魔鬼
Scalding Salamander	灼烫火蜥蜴
Scalding Tarn	沸腾山湖
Scalding Tongs	烫手钳
Scaldkin	沸身灵
Scale Blessing	龙鳞祝福
Scale of Chiss-Goria	齐歌利之鳞
Scalebane's Elite	猎鳞者的精兵
Scaled Behemoth	覆鳞巨鳄
Scaled Hulk	锐鳞巨汉
Scaled Wurm	锐鳞亚龙
Scaleguard Sentinels	鳞卫哨兵
Scalpelexis	史卡佩雷克斯
Scandalmonger	丑闻贩子
Scapegoat	代罪羔羊
Scapeshift	变境
Scar	划疤
Scarab Feast	圣甲虫盛宴
Scarab of the Unseen	窥奥圣甲虫
Scarblade Elite	菁英划疤客
Scare Tactics	惊怖策略
Scarecrone	稻草婆
Scarecrow	稻草人
Scarland Thrinax	痕域叉齿蜥
Scarmaker	切纱深
Scarred Puma	疤痕豹
Scarred Vinebreeder	带疤育藤师
Scars of the Veteran	历战伤疤
Scarscale Ritual	疤鳞祭仪
Scarwood Bandits	伤痕林山贼
Scarwood Goblins	伤痕林鬼怪
Scarwood Hag	伤痕林巫婆
Scarwood Treefolk	伤痕林树妖
Scathe Zombies	枯萎灵俑
Scatter Arc	离散弧光
Scatter the Seeds	撒拨种子
Scatter to the Winds	散入风中
Scattered Groves	星散树丛
Scattering Stroke	离散击
Scattershot	滥射
Scattershot Archer	散射弓箭手
Scavenged Weaponry	拼装式武器
Scavenger Drake	腐食龙兽
Scavenger Folk	拾荒者
Scavenger Grounds	荒骨咒土
Scavenging Ghoul	盗墓食尸鬼
Scavenging Ooze	腐食流浆
Scavenging Scarab	腐食甲虫
Scent of Brine	盐湖气息
Scent of Cinder	煤渣气息
Scent of Ivy	长春藤气息
Scent of Jasmine	茉莉气息
Scent of Nightshade	龙葵气息
Scepter of Dominance	控驭权杖
Scepter of Empires	帝国权杖
Scepter of Fugue	昏乱权杖
Scepter of Insight	洞察权杖
Schismotivate	转移刺激
Scholar of Athreos	雅睿欧斯的学者
School of Piranha	食人鱼群
School of the Unseen	窥奥学院
Scion Summoner	孽裔召唤体
Scion of Darkness	幽域魔裔
Scion of Glaciers	冰川后裔
Scion of Oona	欧娜后裔
Scion of Ugin	乌金后裔
Scion of Vitu-Ghazi	维图加基后裔
Scion of the Ur-Dragon	太初龙后裔
Scion of the Wild	蛮荒后裔
Scorch the Fields	火焚原野
Scorched Earth	焦土
Scorched Ruins	焦黑的遗迹
Scorched Rusalka	焦灼怨魂
Scorching Lava	焦热熔岩
Scorching Missile	炙焰飞弹
Scorching Spear	焦热之矛
Scorching Winds	炙风
Scorchwalker	行炬怪
Scoria Cat	熔烬猫
Scoria Elemental	矿渣元素
Scoria Wurm	矿渣亚龙
Scorned Villager	遭蔑村民
Scornful Aether-Lich	讽世乙太巫妖
Scornful Egotist	狂傲客
Scour	除垢
Scour from Existence	扫除存在
Scour the Laboratory	翻找实验室
Scoured Barrens	侵蚀荒漠
Scourge Devil	祸害魔鬼
Scourge Servant	祸害仆役
Scourge Wolf	祸害狼
Scourge of Fleets	船舰祸害
Scourge of Geier Reach	基尔山脉祸害
Scourge of Kher Ridges	喀尔山脊祸害
Scourge of Nel Toth	奈拓祸害
Scourge of Numai	沼居祸害
Scourge of Skola Vale	斯科拉河谷祸害
Scourge of Valkas	伐卡兹祸害
Scourge of the Nobilis	尊神鞭笞
Scourge of the Throne	王座祸害
Scourgemark	天谴印记
Scourglass	除垢沙漏
Scouring Sands	砂暴扫荡
Scout the Borders	探查边境
Scout's Warning	斥候示警
Scouting Trek	漫漫寻途
Scrabbling Claws	翻拣爪
Scragnoth	史夸格诺司
Scrambleverse	搅乱世界
Scrap	拆碎
Scrap Mastery	废铁究研
Scrap Trawler	废铁打捞械
Scrapbasket	破篓草人
Scrapdiver Serpent	废铁潜蛇
Scrapheap	废物堆
Scrapheap Scrounger	废品搜刮者
Scrapper Champion	拆解斗士
Scrapskin Drake	废皮龙兽
Scrapyard Mongrel	废品场猎犬
Scrapyard Salvo	废品场迸火
Screaming Fury	暴怒狂吼
Screaming Seahawk	尖鸣海鹰
Screamreach Brawler	终嚎沼喧哗兵
Screams from Within	心底嘶喊
Screams of the Damned	厄亡者的嘶喊
Screeching Bat	尖鸣蝙蝠
Screeching Buzzard	尖响兀鹰
Screeching Drake	尖鸣龙兽
Screeching Griffin	尖鸣狮鹫
Screeching Harpy	尖鸣哈痞
Screeching Silcaw	尖鸣银海鸦
Screeching Skaab	尖鸣尸嵌
Screeching Sliver	尖鸣裂片妖
Scrib Nibblers	啃书鼠
Scribe of the Mindful	心智神书吏
Scrivener	书记员
Scroll Rack	卷轴架
Scroll Thief	卷轴盗贼
Scroll of Avacyn	艾维欣的卷轴
Scroll of Griselbrand	棘泽边的卷轴
Scroll of Origins	万源卷轴
Scroll of the Masters	大师的卷轴
Scrounge	遍寻
Scrounged Scythe	夺来镰刀
Scrounger of Souls	灵魂灾祸
Scrounging Bandar	灵巧猫猴
Scrubland	灌木丛林地
Scryb Ranger	斯特巡林者
Scryb Sprites	斯特精灵
Scrying Glass	占卜玻璃
Scrying Sheets	占卜冰镜
Sculpting Steel	塑性钢
Scute Mob	硬盔虫大群
Scuttlemutt	急跑草人
Scuttling Death	逃奔亡灵
Scuttling Doom Engine	疾步毁灭引擎
Scuzzback Marauders	杂背劫掠者
Scuzzback Scrapper	杂背拆解手
Scythe Leopard	镰刃豹
Scythe Specter	死灵镰刀手
Scythe Tiger	镰刃虎
Scythe of the Wretched	卑劣者之镰
Scytheclaw	镰刀爪
Sea Drake	海龙兽
Sea Eagle	海雕
Sea Gate Loremaster	海户识古家
Sea Gate Oracle	海户先知
Sea Gate Wreckage	海户残迹
Sea God's Revenge	海神的复仇
Sea Kings' Blessing	海王的祝福
Sea Monster	大海妖
Sea Scryer	大海占卜师
Sea Serpent	大海蛇
Sea Snidd	海生史尼兽
Sea Spirit	海精灵
Sea Sprite	海之仙子
Sea Troll	海巨魔
Sea's Claim	还诸海疆
Seachrome Coast	铬亮海岸
Seacoast Drake	海滨龙兽
Seafarer's Quay	航海码头
Seafloor Debris	海床废墟
Seagraf Skaab	海墓尸嵌
Seahunter	海猎者
Seal of Cleansing	净化之缄印
Seal of Doom	末日之缄印
Seal of Fire	火焰之缄印
Seal of Primordium	原基缄印
Seal of Removal	移除之缄印
Seal of Strength	力量之缄印
Seal of the Guildpact	十会盟印
Sealed Fate	封印宿命
Sealock Monster	海牢怪
Search Warrant	搜查令
Search for Azcanta	探寻阿兹坎特
Search for Survivors	搜寻生者
Search for Tomorrow	为来日探寻
Search the City	遍寻全城
Searchlight Geist	探照游魂
Searing Blaze	炙热火光
Searing Blood	炙热鲜血
Searing Flesh	焦灼肉体
Searing Light	炙热明光
Searing Meditation	炙热冥思
Searing Rays	炙热射线
Searing Spear	炙热矛
Searing Spear Askari	炙热之矛阿斯卡力骑士
Searing Touch	焦灼之触
Searing Wind	炙热之风
Seascape Aerialist	海景舞空师
Seashell Cameo	海贝壳浮雕
Seaside Citadel	海滨殿堂
Seaside Haven	海滨栖所
Seasinger	海之歌女
Season of the Witch	女巫时令
Seasoned Marshal	经验老到的元帅
Seasoned Tactician	经验老道的战术家
Seasons Past	时迁季移
Seat of the Synod	悉诺议会宅邸
Secluded Glen	隐僻幽谷
Secluded Steppe	远僻草原
Second Chance	良机再现
Second Guess	事后诸葛
Second Harvest	二度收获
Second Sight	千里眼
Second Sunrise	二度日升
Second Thoughts	转念
Second Wind	再生气
Secret Plans	秘密计划
Secret Salvage	隐秘回收
Secret Summoning	隐秘召唤
Secretkeeper	秘密护卫
Secrets of Paradise	天堂奥秘
Secrets of the Dead	亡者秘密
Secure the Wastes	卫护荒漠
Security Blockade	维安封锁
Security Detail	保安特遣队
Sedge Scorpion	蓑草蝎子
Sedge Sliver	蓑草裂片妖
Sedge Troll	蓑草巨魔
Sedraxis Alchemist	塞卓基司炼金术士
Sedraxis Specter	塞卓基司幽灵
Sedris, the Traitor King	叛徒之王塞基司
See Beyond	远见
See the Unwritten	传言具现
Seed Guardian	卫种灵
Seed Spark	播种灵光
Seed the Land	开疆辟壤
Seedborn Muse	苗生谬思
Seedcradle Witch	育苗法术师
Seedguide Ash	导实梣木
Seedling Charm	幼苗护符
Seeds of Innocence	纯真种子
Seeds of Renewal	新生萌芽
Seeds of Strength	力量种子
Seedtime	播种期
Seek (Hide/Seek)	寻找 (寻找/藏匿)
Seek the Horizon	探寻天际
Seek the Wilds	探寻野境
Seeker	探索者
Seeker of Insight	探解客
Seeker of Skybreak	寻日者
Seeker of the Way	灵道探求者
Seekers' Squire	访圣团扈从
Seer of the Last Tomorrow	终末先知
Seer's Lantern	预言师明灯
Seer's Sundial	预言师日晷
Seer's Vision	先知的预视
Seething Anger	怒火中烧
Seething Pathblazer	热血焰径人
Seething Song	热血战歌
Segmented Krotiq	节足库提虫
Segmented Wurm	断片亚龙
Segovian Leviathan	比高维安海怪
Seht's Tiger	塞特之虎
Seismic Assault	地动来袭
Seismic Elemental	地动元素
Seismic Mage	震地法师
Seismic Rupture	地动爆裂
Seismic Shudder	大地颤动
Seismic Spike	局部地动
Seismic Stomp	雷动跺
Seismic Strike	地动袭击
Seizan, Perverter of Truth	颠倒黑白的逝斩
Seize the Day	把握今朝
Seize the Initiative	掌握先机
Seize the Soul	紧握灵魂
Seizures	发作
Sejiri Merfolk	塞基黎人鱼
Sejiri Refuge	塞基黎避难所
Sejiri Steppe	塞基黎草原
Sek'Kuar, Deathkeeper	死亡守卫赛夸
Sekki, Seasons' Guide	时令节贵
Select for Inspection	挑出检验
Selective Memory	选择性记忆
Selenia, Dark Angel	闇天使撒琳妮雅
Selesnya Charm	瑟雷尼亚护符
Selesnya Cluestone	瑟雷尼亚示石
Selesnya Evangel	瑟雷尼亚福音师
Selesnya Guildgate	瑟雷尼亚公会门
Selesnya Guildmage	瑟雷尼亚公会法师
Selesnya Keyrune	瑟雷尼亚符镇兵
Selesnya Sagittars	瑟雷尼亚射手
Selesnya Sanctuary	瑟雷尼亚圣殿
Selesnya Sentry	瑟雷尼亚哨兵
Selesnya Signet	瑟雷尼亚印记
Self-Assembler	自组工人
Self-Inflicted Wound	自残
Selfless Cathar	无私护教军
Selfless Exorcist	无私的驱魔师
Selfless Spirit	无私精怪
Selfless Squire	无私扈从
Selhoff Occultist	塞贺神秘学者
Selkie Hedge-Mage	设障海豹妖
Sell-Sword Brute	卖剑打手
Seller of Songbirds	鸣鸟商贩
Selvala's Charge	塞瓦拉的冲锋
Selvala's Enforcer	塞瓦拉的执法者
Selvala, Explorer Returned	复还探险家塞瓦拉
Selvala, Heart of the Wilds	荒野之心塞瓦拉
Selvala’s Stampede	塞瓦拉的狂奔
Semblance Anvil	近貌铁砧
Sen Triplets	三胞仙
Send to Sleep	送入梦乡
Sengir Autocrat	辛格氏独裁者
Sengir Bats	辛格氏蝙蝠
Sengir Nosferatu	辛格氏吸血妖
Sengir Vampire	辛格氏吸血鬼
Sensation Gorger	感知食客
Sensei Golden-Tail	金尾师范
Sensei's Divining Top	师范占卜陀螺
Senseless Rage	无名怒火
Sensor Splicer	感应接合师
Sensory Deprivation	剥夺感知
Sentinel	哨兵
Sentinel Dispatch	速遣哨兵
Sentinel Sliver	哨兵裂片妖
Sentinel Spider	哨兵蜘蛛
Sentinel Totem	哨戒图腾像
Sentinel of the Eternal Watch	恒卫哨兵
Sentinels of Glen Elendra	艾蓝卓幽谷哨兵
Sentry Oak	橡树哨兵
Sentry of the Underworld	冥界哨卫
Separatist Voidmage	独立派销法师
Septic Rats	败血鼠
Sepulchral Primordial	阴森原祖
Sequestered Stash	僻静匿所
Seraph	六翼天使
Seraph Sanctuary	炽天使圣殿
Seraph of Dawn	曙光炽天使
Seraph of the Masses	众生炽天使
Seraph of the Suns	诸阳炽天使
Seraph of the Sword	长剑炽天使
Serendib Djinn	细兰巨灵
Serendib Efreet	细兰魔神
Serendib Sorcerer	细兰术士
Serene Heart	静心
Serene Master	静谧大师
Serene Offering	宁静献礼
Serene Remembrance	缅怀
Serene Steward	安详监管人
Serene Sunset	谧暮
Serenity	清朗
Serpent Assassin	巨蛇刺客
Serpent Generator	毒蛇生产机
Serpent Skin	蛇皮
Serpent Warrior	巨蛇战士
Serpent of the Endless Sea	无尽海巨蛇
Serpent's Gift	巨蛇天赋
Serpentine Basilisk	盘曲蜥怪
Serpentine Kavu	盘曲卡甫
Serpentine Spike	盘曲穿刺
Serra Advocate	撒拉拥护者
Serra Angel	撒拉天使
Serra Ascendant	撒拉入圣僧
Serra Avatar	撒拉圣者
Serra Avenger	撒拉复仇者
Serra Aviary	撒拉鸟舍
Serra Bestiary	撒拉的兽栏
Serra Inquisitors	撒拉审判官
Serra Paladin	撒拉的神圣武士
Serra Sphinx	撒拉史芬斯
Serra Zealot	撒拉狂信者
Serra's Blessing	撒拉的祝福
Serra's Boon	撒拉的恩泽
Serra's Embrace	撒拉之拥
Serra's Hymn	撒拉咏赞
Serra's Liturgy	撒拉的祈祷文
Serra's Sanctum	撒拉的圣域
Serrated Arrows	锯刺箭
Serrated Biskelion	双锯刺铁人
Serum Powder	浆液粉末
Serum Raker	浆液纵掠者
Serum Tank	浆液槽
Serum Visions	浆液预视
Servant of Nefarox	涅法洛仆从
Servant of Tymaret	提玛瑞的仆从
Servant of Volrath	瓦拉司仆役
Servant of the Conduit	大通联仆从
Servant of the Scale	龙鳞仆从
Serve (Protect/Serve)	效命 (卫护/效命)
Servo Exhibition	自动机展览
Servo Schematic	自动机图解
Seshiro the Anointed	蛇圣濑四郎
Set Adrift	漂逐
Setessan Battle Priest	瑟特萨战斗僧侣
Setessan Griffin	瑟特萨狮鹫
Setessan Oathsworn	瑟特萨盟誓人
Setessan Starbreaker	瑟特萨殒星客
Setessan Tactics	瑟特萨式战法
Seton's Desire	熙藤的愿望
Seton's Scout	熙藤的斥候
Seton, Krosan Protector	克洛萨保护者熙藤
Settle the Wreckage	处理残迹
Sever Soul	断魂术
Sever the Bloodline	斩断血脉
Severed Legion	断肢军团兵
Sewer Nemesis	下水道复仇者
Sewer Rats	暗渠老鼠
Sewer Shambler	暗渠跛行兽
Sewerdreg	暗渠攫妖
Sewers of Estark	依斯塔克下水道
Sewn-Eye Drake	缝眼龙兽
Shackles	枷锁
Shade of Trokair	卓耶卡阴魂
Shade's Breath	阴魂气息
Shade's Form	阴魂形体
Shadow Alley Denizen	暗影巷居民
Shadow Glider	暗影滑翔翼
Shadow Guildmage	黯影公会法师
Shadow Lance	鬼影长枪
Shadow Rider	影子骑兵
Shadow Rift	幽影缝隙
Shadow Slice	暗影削斩
Shadow Sliver	幽影裂片妖
Shadow of Doubt	猜疑之影
Shadow of the Grave	坟场阴影
Shadowbane	锁影
Shadowblood Egg	暗血卵
Shadowblood Ridge	暗血山脊
Shadowborn Apostle	影裔宗徒
Shadowborn Demon	影裔恶魔
Shadowcloak Vampire	影篷吸血鬼
Shadowed Caravel	影笼轻帆船
Shadowfeed	暗影吞没
Shadowmage Infiltrator	渗透影法师
Shadows of the Past	往昔阴影
Shadowstorm	幽影风暴
Shadowstorm Vizier	幽风维齐尔
Shah of Naar Isle	纳尔岛主
Shahrazad	雪赫拉莎德
Shaleskin Bruiser	石皮捣击兽
Shaleskin Plower	石皮犁兽
Shallow Grave	墓地过浅
Shaman en-Kor	寇族巫师
Shaman of Forgotten Ways	佚道祭师
Shaman of Spring	迎春祭师
Shaman of the Great Hunt	竞猎祭师
Shaman of the Pack	猎群祭师
Shaman's Trance	巫医交神
Shamanic Revelation	祭师启示
Shamble Back	蹒跚而回
Shambleshark	蟹肢鲨
Shambling Attendants	跛行随侍
Shambling Ghoul	跛行食尸鬼
Shambling Goblin	跛行鬼怪
Shambling Remains	跛行遗骸
Shambling Shell	跛行残躯
Shambling Strider	跛行神行客
Shambling Swarm	跛行虫群
Shambling Vent	跛行喷发口
Shanodin Dryads	撒诺丁树灵
Shape Anew	重塑型体
Shape Stealer	摹态精
Shape of the Wiitigo	化身威提哥
Shape the Sands	扬砂塑形
Shaper Apprentice	塑形师学徒
Shaper Guildmage	塑形公会法师
Shaper Parasite	塑形寄生怪
Shapers of Nature	自然塑形师
Shapers' Sanctuary	塑形师庇护所
Shapesharer	传形妖
Shapeshifter	变形侠
Shapeshifter's Marrow	变形兽精华
Shard Convergence	断片交会
Shard Phoenix	碎翼凤凰
Shard Volley	碎片射击
Shard of Broken Glass	玻璃碎片
Sharding Sphinx	舞翼史芬斯
Shardless Agent	无断片密探
Shared Animosity	同仇敌忾
Shared Discovery	共享发现
Shared Fate	共同命运
Shared Trauma	共享创伤
Shared Triumph	共享胜果
Sharpened Pitchfork	尖利草叉
Sharuum the Hegemon	支配者韶伦
Shatter	粉碎
Shattered Angel	残翼天使
Shattered Crypt	劈棺
Shattered Dreams	破碎之梦
Shattered Perception	粉碎感知
Shattergang Brothers	骚帮二佬
Shattering Blow	粉碎霆击
Shattering Pulse	粉碎脉波
Shattering Spree	粉碎无歇
Shatterskull Giant	碎颅巨人
Shatterskull Recruit	碎颅新兵
Shatterstorm	粉碎风暴
Shauku's Minion	刹酷的奴仆
Shauku, Endbringer	屠戮者刹酷
Shed Weakness	褪去弱肤
Sheer Drop	垂直掉落
Shefet Dunes	谢菲沙丘
Shefet Monitor	谢菲巨蜥
Shelkin Brownie	薛尔金小棕妖
Shell Skulkin	厚壳颅身
Shell of the Last Kappa	末代河童壳
Shelldock Isle	壳坞岛
Shelter	遮蔽
Sheltered Aerie	庇护龙巢
Sheltered Thicket	岩壁灌丛
Sheltered Valley	隐蔽峡谷
Sheltering Ancient	庇荫先人
Sheltering Light	庇护光盾
Sheltering Prayers	庇荫祝祷
Sheltering Word	庇护咒
Sheoldred, Whispering One	细语者希欧蕊
Shepherd of Rot	腐尸牧者
Shepherd of the Lost	迷失者牧人
Shidako, Broodmistress	女王蛇志田子
Shield Bearer	执盾手
Shield Dancer	舞盾手
Shield Mate	护盾手
Shield Sphere	护盾球
Shield Wall	集盾成墙
Shield of Duty and Reason	义与理之盾牌
Shield of Kaldra	卡尔札之盾
Shield of the Ages	远古之盾
Shield of the Avatar	圣者之盾
Shield of the Oversoul	超灵之盾
Shield of the Righteous	义人之盾
Shielded Aether Thief	佩盾乙太贼
Shielded Passage	严护通道
Shielded by Faith	信念卫护
Shieldhide Dragon	盾鳞巨龙
Shielding Plax	咒护板
Shieldmage Advocate	盾法师倡导人
Shieldmage Elder	盾法师长老
Shieldmate's Blessing	护盾手祝福
Shields of Velis Vel	贝理贝之盾
Shifting Borders	边境变幻
Shifting Loyalties	移志换心
Shifting Sky	变幻长空
Shifting Sliver	变幻裂片妖
Shifting Wall	变易之墙
Shifty Doppelganger	变幻化妖
Shimatsu the Bloodcloaked	腥氅死祭
Shimian Night Stalker	希米安夜潜魔
Shimian Specter	希米安幽灵
Shimmer	闪烁
Shimmer Myr	烁光秘耳
Shimmering Barrier	闪烁护壁
Shimmering Efreet	闪烁魔神
Shimmering Glasskite	闪烁玻璃鸢
